"%s was added to your shopping cart.","%s was added to your shopping cart."
"%s was successfully added to your shopping cart.","%s placerades i din varukorg."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Några av produkterna finns inte i önskat antal."
"Some of the products you requested are unavailable","Vissa produkter som du har begärt är inte tillgängliga"
"Some of the requested products are not available in the desired quantity.","Some of the requested products are not available in the desired quantity."
"Some of the requested products are unavailable.","Some of the requested products are unavailable."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Sorry, guest checkout is not enabled. Please try again or contact the store owner."
"Sorry, no quotes are available for this order at this time.","Tyvärr är det för närvarande inte möjligt att begära offert för denna beställning."
"State/Province","Region"
"Status","Status"
"Store View","Store View"
"Street Address","Gatuadress"
"Street Address ","Street Address "
"Street Address %s","Street Address %s"
"Submitting order information...","Skickar information om beställning..."
"Subtotal","Summa (ex.moms)"
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Telephone","Telefon"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Tack för ditt köp!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","The product could not be found."
"The product does not exist.","The product does not exist."
"There are <a href=""%s"">%s items</a> in your cart.","There are <a href=""%s"">%s items</a> in your cart."
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Det finns <a href=""%s""><strong>%s artiklar</strong></a> i din varukorg."
"There is <a href=""%s"">1 item</a> in your cart.","There is <a href=""%s"">1 item</a> in your cart."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Du har <a href=""%s""><strong>1 artikel</strong></a> i din varukorg."
"There is already a customer registered using this email address","Det finns redan en kund med den angivna e-postadressen."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"There was an error processing your order. Please contact us or try again later.","Ett fel uppstod när din beställning skulle behandlas. Vänligen kontakta oss eller försök igen senare."
"This condition no longer exists","This condition no longer exists"
"This condition no longer exists.","This condition no longer exists."
"Total","Total"
"Total for this address","Totalt för denna adress"
"Unable to set Payment Method.","Unable to set Payment Method."
"Unit Price","Enhetspris"
"Update Cart","Update Cart"
"Update Qty &amp; Addresses","Uppdatera antal &amp; adresser"
"Update Shopping Cart","Uppdatera varukorgen"
"Update Total","Uppdatera total"
"Update product quantities in shopping cart","Update product quantities in shopping cart"
"Update product(s) quantities in shopping cart","Update product(s) quantities in shopping cart"
"Use Billing Address","Använd fakturaadress"
"VAT Number","VAT Number"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","En orderbekräftelse skickas så snart vi behandlat din order. När ordern levereras skickar vi även en leveransbekräftelse. I leveransbekräftelsen bifogas kolli-id och en länk så att du kan följa försändelsen."
"What's this?","What's this?"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du kommer att få en bekräftelse skickat till din e-postadress med detaljerna för din beställning och information om hur du kan spåra försändelsen."
"Your Checkout Progress","Steg i kassan"
"Your billing agreement # is: %s.","Your billing agreement # is: %s."
"Your order # is: %s","Ditt beställningsnummer är: %s"
"Your order # is: %s.","Your order # is: %s."
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order cannot be completed at this time as there is no payment methods available for it.","Your order cannot be completed at this time as there is no payment methods available for it."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your order has been received","Din beställning är mottagen"
"Your order has been received.","Your order has been received."
"Your order number is ","Your order number is "
"Your recurring payment profiles:","Your recurring payment profiles:"
"Zip/Postal Code","Postnummer"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
